ListPrice,BEDS,BATHS,SQFT,LotSize,Age,ParkingSpots
249900,3,1,1154,5227,93,2
229900,3,2,1658,5227,99,1
174900,3,1.5,1642,6098,63,1
575900,5,3.5,3564,4791,6,2
595000,3,2.25,2416,5662,89,2
174900,3,1,1402,6098,63,2
119900,4,1.5,1129,4791,88,2
429900,3,3,2324,4791,0,1
835000,5,3.5,3853,5227,1,2
690000,4,2.25,2404,3920,89,2
239900,4,1,2390,5227,93,3
179900,2,1,828,4791,97,1
119000,3,1,1011,6098,139,1
4650000,5,5.5,8655,16117,82,3
39000,2,1.5,1180,5662,64,1
184900,2,1,1146,6534,99,1
189000,2,1,1174,5227,93,3
129900,2,1,1044,4791,73,1
2795000,4,4.75,4939,21344,84,2
99900,2,1,1248,4791,84,1
39900,2,1,1390,4791,105,2
424900,3,1.5,1916,5662,88,2
379900,4,2,1025,5662,88,2
1495000,5,4.5,4646,23522,107,4
165000,4,2.5,2104,6534,63,3
799900,4,2.5,4177,10454,59,2
147900,3,1.75,1638,6534,57,2
110000,3,1,1068,6534,63,2
239500,3,1.75,1251,5227,89,2
339000,3,2.25,2060,5227,55,2
399988,5,2.75,2592,6098,62,2
252500,3,2,1700,6098,92,2
869000,4,4.25,3519,6098,90,2
89900,2,1,700,9583,67,2
868900,5,3.25,3650,5227,0,4
259900,2,1.5,1853,5662,55,1
124900,2,1,1200,6098,59,1
269000,3,2,1524,9583,57,2
124900,3,1.75,1460,7840,59,1
112900,3,1,1460,5793,68,2
750000,5,4.5,4158,5227,89,6
139900,3,1.75,1600,8276,53,1
625000,3,2.25,2700,11325,83,2
134900,4,1.5,1685,6534,64,2
849500,4,3.25,3752,5227,0,3
239900,5,2.5,2016,9147,114,2
339900,3,1.5,2124,5662,61,3
99999,4,1,1128,5662,64,3
350000,3,1,1550,5227,34,2
749900,6,4.25,4869,9147,119,1
299000,3,2,1697,5227,94,2
599000,4,3.5,2938,5227,1,2
95000,2,1.75,2204,4791,32,1
305000,3,2,1607,5662,114,2
124900,3,1,1216,6969,63,2
157000,2,1.75,1737,6534,89,1
79500,4,1,1180,5227,77,1
129550,3,1,1200,5227,97,2
140000,3,1.75,1738,4791,52,2
699000,3,2,2376,5140,90,2
225000,3,2,2214,3049,99,2
53900,1,1,700,4356,90,1
228500,2,1,1095,5227,97,1
194900,5,1.5,1851,6098,50,2
225000,3,1.75,1758,10454,0,2
225000,3,1.75,1758,7405,0,2
139900,2,2,1100,5227,91,4
119900,3,1.5,1121,5227,93,2
339900,3,2.5,2079,5662,65,2
138500,5,1.75,1774,4791,69,1
219900,3,1,1052,5227,63,2
955000,5,4.5,4720,6534,87,3
99900,2,1,754,9583,90,2
520000,4,2.25,2352,5662,126,2
149900,3,1.25,1288,5227,107,3
145000,3,1,1279,4791,100,2
260000,3,1,1176,4791,89,2
479900,3,1.5,2191,5924,78,2
324900,4,1.5,2114,4791,66,2
159900,1,1,599,5227,91,2
234900,3,1,1540,4791,75,1
499900,3,1.5,2552,6534,87,2
319900,2,2.25,1930,5227,93,2
624900,5,2.75,2697,4791,85,2
179990,3,1,1031,5227,90,2
799990,4,3.25,3398,5227,1,4
225000,3,1,1154,5227,74,2
699900,4,3.5,3200,5227,8,2
129900,2,1.75,954,5227,90,1
309999,3,1.75,1725,5662,86,1
599900,4,3,3552,5662,134,2
299900,4,2,2208,6534,66,1
389900,4,1.75,2320,7405,96,3
129900,3,1.75,1574,5227,64,1
134800,1,1,675,5227,92,2
154900,3,1.75,1300,5227,59,2
224900,3,1,1140,5662,67,1
117900,2,1,739,6098,91,2
124900,1,1,548,6098,90,1
209900,4,2,2852,5227,70,1
239900,4,2,2164,4791,68,1
184900,3,1.75,1596,5227,68,2
137000,1,1,690,6534,92,3
254900,4,2,1627,6098,88,2
529900,6,3.25,3990,9147,102,4
309900,5,2.75,2686,6534,64,2
224990,3,1.75,1340,4791,89,4
419900,4,2.25,2925,5227,14,2
324900,3,2,1694,7405,74,2
284700,3,1.75,1702,5227,61,2
169990,3,1.5,1080,6098,90,2
32900,2,1,896,5227,125,1
189900,3,2,1510,6534,86,4
110000,3,1.75,1376,4791,105,2
133900,3,1.75,1129,10018,67,1
169900,2,1,696,5227,66,3
399900,4,3.25,2722,7840,19,2
234900,3,1.75,2150,6969,64,4
187000,4,2.5,1555,5227,74,4
219900,5,1.75,1670,6534,90,2
185900,3,1,1214,5227,91,2
249900,3,1.75,1314,5227,64,1
289900,3,1.5,1440,6098,77,1
273500,3,1.75,1587,5227,64,1
56750,2,1,1397,3920,57,1
169900,3,1.75,1373,5227,62,2
219000,3,1.5,1828,5227,102,1
199900,3,1,1496,5227,69,1
750000,4,3.5,3531,5227,1,2
164900,3,1,1080,5227,63,1
129895,2,1,1500,6534,110,6
255000,5,1.75,2120,7405,39,2
144900,3,1.5,1447,8276,56,1
174900,3,1,1674,6098,63,1
339900,3,2.5,2007,6534,67,2
199900,4,1,1212,8712,87,3
189900,3,1.75,1374,6534,64,4
209900,3,1.5,1586,5227,66,1
174900,2,1.75,1623,10454,67,1
184900,3,1.75,1572,5662,62,2
289900,3,1.75,1820,5227,65,2
274900,3,2.75,1835,5662,76,1
329900,3,2.5,1767,5227,86,2
145000,4,2,1680,4791,115,2
575000,3,2.25,3173,6534,0,2
184900,3,1.75,1536,6098,33,2
139900,4,1.75,1246,4791,114,2
329900,3,2,2216,6534,73,2
243000,3,1,1726,6534,68,1
274900,4,2,1862,5227,57,2
239999,4,1.5,1822,6098,63,2
289900,3,1.5,2512,6098,72,2
2225000,6,4.25,7314,5227,125,2
289900,3,1.5,1769,5227,63,2
214900,2,1,1115,6969,67,2
230000,3,1,1239,5227,63,2
525000,4,2.5,2184,6098,1,2
354500,3,1.5,1968,6098,56,3
509900,3,2.5,2032,6098,1,2
525000,4,2.5,2184,6098,1,2
201500,2,1,745,6534,65,1
199900,3,1,1284,5227,68,3
315900,3,1.75,2368,6098,64,2
312000,3,1.5,1864,5227,65,3
334900,3,2.5,2098,5227,42,2
239900,4,2,1514,6098,65,2
499000,5,3.25,2501,5227,1,2
120990,3,1.5,1296,5227,94,1
189200,3,1.5,1117,6098,72,1
199000,4,1.5,1610,5227,67,1
279900,3,1.5,2326,7405,59,2
179900,3,2,1970,7405,64,4
65000,1,0.75,650,4791,130,0
99900,3,1,1385,4791,76,1
199900,3,1.5,1755,5662,57,1
569900,5,3.25,3892,6534,57,2
249900,3,1,1879,5662,59,2
159900,3,1.75,1260,6098,64,4
334900,4,2,2496,5662,56,2
274999,4,2,1705,5227,64,3
245000,3,1.75,1657,5662,61,2
256900,4,1.5,2096,6534,63,2
219900,3,1.75,1740,6534,58,1
219900,4,1.5,2109,6098,61,2
57500,4,1.75,2620,4791,124,2
95000,1,1.25,952,8624,134,2
224900,3,1.75,1935,6534,63,3
255000,3,1.75,1923,6926,60,2
299900,3,1.75,1681,6534,63,2
184500,2,1.75,1504,6098,62,1
190000,3,1.75,1348,5662,64,2
219900,3,1,1382,6534,63,2
199900,3,1.5,1553,2178,110,0
169900,3,1,1112,5227,73,2
239000,3,1.75,2376,8712,58,2
209900,3,1.25,1127,5227,107,2
450000,8,4,4216,7405,102,4
39900,3,1,1104,6098,128,1
199900,5,2,1750,13068,114,2
169900,4,1.5,1544,7405,114,3
145000,1,1,933,1001,10,0
79900,2,1,1050,4791,94,2
142900,3,2,1426,6534,114,0
109000,2,2,982,6969,128,1
90000,3,1,3580,4791,126,2
144900,3,1,1215,12196,65,1
90000,3,1.75,1596,3484,92,1
87500,4,2.5,2136,4791,130,2
132000,5,2.75,1600,4791,114,1
164900,3,1.5,1440,6098,49,2
379850,2,1.75,1676,9147,61,3
104900,3,1,1092,5227,102,0
99100,3,1.75,1798,5662,114,3
129900,3,1.5,1865,7840,67,6
599000,4,2.25,3233,12632,58,2
119900,3,1,1080,10890,127,1
154900,2,1,1575,4791,114,1
414900,3,2.5,3155,5662,16,2
204900,3,1,1705,4791,65,4
230000,4,1.75,1985,10890,97,2
174900,3,2,2084,5227,89,2
153900,3,1.75,1468,7405,32,2
144900,3,1,1424,3920,74,2
97900,3,2.25,1512,3049,29,1
74900,4,1.75,1880,4791,108,2
129900,3,0.75,1180,4791,114,2
119900,4,1.5,1304,5227,75,2
114900,3,1,1408,4791,91,1
145000,4,1.75,2072,6098,74,1
169900,4,1.5,2100,4791,110,2
69900,2,1,1216,4791,121,0
69900,2,1.5,1107,3484,114,0
115000,3,1.75,1358,4791,76,1
134900,3,1,1018,4791,120,1
120000,3,1.5,1500,2613,114,1
112900,3,1,1190,4791,68,1
990000,4,4,5214,13068,88,2
174900,3,1,1479,4791,63,2
249000,3,2.25,2870,5227,95,4
149900,4,2,1397,4791,82,2
99900,2,1,1096,7405,66,2
164900,2,0.75,1229,5227,76,3
774900,6,3,3420,8712,105,2
165000,6,2,1476,5227,59,1
89900,2,1.5,1099,17859,98,3
175000,3,1.5,1417,5227,114,1
359900,4,1.25,2252,4791,106,3
159900,2,1,1405,4791,134,1
139900,3,2,1920,5227,56,2
219900,3,1.75,1612,5227,99,2
79900,3,1.25,1248,4791,99,2
75000,2,1,1584,4007,110,1
154900,3,1.75,1785,4791,86,2
145000,4,2,1904,4791,120,1
299900,5,2.5,2460,11761,114,3
179900,4,1.75,1127,5227,107,1
34900,3,1,1236,4791,130,2
179000,3,2.5,2000,9583,62,3
148000,4,1.75,1494,5227,41,2
109000,2,1,963,4791,89,1
349000,3,2.25,1800,4791,0,2
108400,4,1.75,1690,4791,35,2
675000,7,3.5,4806,12632,104,6
139900,4,2.5,1496,4791,131,1
171900,3,1,1282,4356,101,3
2995000,4,3.5,5819,19602,12,4
209900,3,1,1448,6098,91,2
245999,4,3,1900,3920,114,1
155900,4,1.75,1408,4791,102,1
40000,3,1,1645,4791,129,0
124100,3,2.25,2074,8712,57,1
61900,3,2,1365,4791,110,1
134900,3,1,1773,4791,103,4
100000,5,1.75,1758,4791,99,2
129900,3,1,1188,3920,128,1
148900,2,1,1427,4791,104,2
165000,2,1,1047,7405,99,2
135900,3,1.75,1820,4791,88,1
139900,4,2,1796,4791,106,2
121900,4,2,2126,6098,23,1
44900,2,1,826,7405,126,3
49900,2,1,1241,4791,101,0
359000,3,3.25,2983,9583,16,2
56900,4,2,1543,4791,106,2
59900,3,1.5,1284,4356,105,1
154900,3,2,1400,4356,125,4
47000,3,1,1000,4791,130,1
74900,4,1.75,2269,4791,105,1
74900,3,1.75,1400,5227,99,1
139900,3,1,1189,4791,103,2
179900,3,1.75,1300,5227,108,2
105000,2,1,914,6098,134,7
226900,3,1.5,1381,6098,66,1
99900,3,1,1267,6534,130,2
85000,3,2.25,2207,4791,102,2
499900,4,2.5,3052,6098,123,3
132990,3,1.75,1562,4356,114,2
279900,5,2,2100,6534,103,2
24900,3,1,1172,5227,130,1
349900,3,2.5,2044,6098,9,2
104500,4,2.25,1378,4791,64,2
279900,2,1,1271,10890,94,2
339900,4,1.75,2534,6969,102,2
125900,3,1,1351,8276,89,2
168800,3,1,2036,5227,73,1
215000,2,1,1200,6098,103,1
795000,5,3.25,4305,6969,120,0
240000,4,1.75,1564,4791,65,1
374900,4,2.5,2046,4791,103,2
100000,2,1,938,7840,114,1
149900,2,1,784,9888,60,2
279900,4,2.25,2700,5227,112,1
69000,3,1,961,3484,134,0
134900,3,1,1218,6534,75,1
93900,3,1,1292,5227,74,1
189900,3,0.75,1464,6098,64,1
169900,3,2,1398,6098,74,1
289900,5,1.5,2750,6969,107,2
919900,6,4.25,4912,15681,107,8
98000,3,1.75,1005,3920,104,1
195000,4,2,1624,5662,110,2
209900,3,2.25,2296,8712,36,2
117900,3,1,1403,5227,93,1
284900,3,2.5,1932,5662,64,2
139900,4,1.25,396,5227,97,1
299900,3,2.25,2014,6534,65,2
165000,4,1.75,1349,5227,74,2
149990,3,2,1220,4791,0,1
124900,3,1,1200,4791,101,1
193000,4,1.75,1460,4356,93,2
134999,3,1.75,1650,9539,124,2
84900,2,1,732,4356,90,3
109000,4,1.75,1650,5227,116,2
89900,3,2,1180,4791,100,1
62500,1,1,760,7405,114,2
483900,4,2.5,2500,13068,0,3
